[2021-01-12 11:08:17,959]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:17,992]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:19,044]-[util.py]-[INFO]:确认完成
[2021-01-12 11:08:20,366]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:20,400]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:21,453]-[util.py]-[INFO]:确认完成
[2021-01-12 11:08:22,741]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:22,772]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:23,837]-[util.py]-[INFO]:确认完成
[2021-01-12 11:08:25,085]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:25,116]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:26,173]-[util.py]-[INFO]:确认完成
[2021-01-12 11:08:27,381]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:27,410]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:28,465]-[util.py]-[INFO]:确认完成
[2021-01-12 11:08:29,708]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:29,734]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:30,785]-[util.py]-[INFO]:确认完成
[2021-01-12 11:08:32,030]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:32,638]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:34,098]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:08:35,931]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:36,013]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:37,126]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:08:38,383]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:38,451]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:39,552]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:08:40,842]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:40,891]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:42,063]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:08:43,923]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:44,013]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:45,138]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:08:46,996]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:47,068]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:48,246]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:08:49,982]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:50,094]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:51,307]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:08:52,619]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:52,673]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:53,754]-[util.py]-[INFO]:退出登陆
[2021-01-12 11:08:55,017]-[util.py]-[INFO]:登陆完毕
[2021-01-12 11:08:55,087]-[util.py]-[WARNING]:断言成功
[2021-01-12 11:08:56,187]-[util.py]-[INFO]:退出登陆
